Lignin ID,17_29
Adjacency matrix
,1G,2G,3G,4G,5G,6G,7G,8G,9G,10G,11G,12G,13G,14G,15G,16G,17G,
1G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2G,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4G,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5G,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
6G,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
7G,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
8G,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
9G,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10G,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
11G,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
12G,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
13G,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
14G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15G,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
16G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
17G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1G,2G,3G,4G,5G,6G,7G,8G,9G,10G,11G,12G,13G,14G,15G,16G,17G,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2G,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 
3G,0, B, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4G,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5G,0, 0, 0, B, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6G,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8G,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
9G,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
10G,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
11G,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
12G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 0, 0, 0, 0, 0, 
13G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 0, 0, 
14G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
15G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 5, 0, 
16G,0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
17G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
