Lignin ID,12_277
Adjacency matrix
,1G,2S,3G,4S,5S,6G,7S,8G,9S,10S,11S,12S,
1G,0,1,0,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,0,0,
6G,0,0,0,0,1,0,0,0,0,0,0,0,
7S,0,0,0,0,0,1,0,0,0,0,0,0,
8G,0,0,0,0,0,0,1,0,0,0,0,0,
9S,0,0,0,0,0,0,0,1,0,0,0,0,
10S,0,0,0,0,0,0,0,0,1,0,0,0,
11S,0,0,0,0,0,0,0,0,0,0,0,1,
12S,0,0,0,0,0,0,0,0,0,0,0,0,

Connectivity matrix
,1G,2S,3G,4S,5S,6G,7S,8G,9S,10S,11S,12S,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
6G,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
8G,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
10S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 0, 0, 
11S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 
12S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
