Lignin ID,10_9442
Adjacency matrix
,1G,2G,3S,4G,5S,6S,7S,8S,9S,10G,
1G,0,1,0,0,0,0,0,0,0,0,
2G,0,0,1,0,0,0,0,0,0,0,
3S,0,0,0,0,0,0,0,0,0,0,
4G,0,0,1,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,
7S,0,0,0,0,0,1,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,0,
9S,0,0,0,0,0,0,0,0,0,1,
10G,0,0,0,0,0,0,0,0,0,0,

Connectivity matrix
,1G,2G,3S,4G,5S,6S,7S,8S,9S,10G,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
2G,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 
3S,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
4G,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 
10G,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
