Lignin ID,10_7638
Adjacency matrix
,1S,2S,3G,4G,5S,6S,7S,8G,9S,10G,
1S,0,1,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,
4G,0,0,1,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,
7S,0,0,0,0,0,0,0,0,0,0,
8G,0,0,0,0,0,0,1,0,0,0,
9S,0,0,0,0,0,0,0,1,0,1,
10G,0,0,0,0,0,0,0,0,0,0,

Connectivity matrix
,1S,2S,3G,4G,5S,6S,7S,8G,9S,10G,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
4G,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 
8G,0, 0, 0, 0, 0, 0, B, 0, 5, 0, 
9S,0, 0, 0, 0, 0, 0, 0, 4, 0, B, 
10G,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
