Lignin ID,10_6697
Adjacency matrix
,1G,2G,3S,4S,5S,6S,7G,8S,9G,10S,
1G,0,1,0,0,0,0,0,0,0,0,
2G,0,0,0,0,0,0,0,0,0,0,
3S,0,0,0,1,0,0,0,0,0,0,
4S,0,0,0,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,
7G,0,0,0,0,0,1,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,0,
9G,0,0,0,0,0,0,0,1,0,0,
10S,0,1,0,0,0,0,0,0,1,0,

Connectivity matrix
,1G,2G,3S,4S,5S,6S,7G,8S,9G,10S,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
2G,B, 0, 0, 0, 0, 0, 0, 0, 0, 5, 
3S,0, 0, 0, B, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 
9G,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
10S,0, 4, 0, 0, 0, 0, 0, 0, B, 0, 
