Lignin ID,10_420
Adjacency matrix
,1G,2S,3S,4S,5S,6G,7G,8S,9S,10G,
1G,0,1,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,
3S,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,
6G,0,0,0,0,1,0,0,0,0,0,
7G,0,0,0,0,0,1,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,0,
9S,0,0,0,0,0,0,0,1,0,0,
10G,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1G,2S,3S,4S,5S,6G,7G,8S,9S,10G,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 
3S,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
6G,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 5, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
10G,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
