Lignin ID,10_12448
Adjacency matrix
,1S,2S,3S,4G,5S,6S,7G,8S,9G,10G,
1S,0,1,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,
3S,0,0,0,0,0,0,0,0,0,0,
4G,0,0,1,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,1,
6S,0,0,0,0,0,0,1,0,0,0,
7G,0,0,0,0,0,0,0,0,1,0,
8S,0,0,0,0,0,0,1,0,0,0,
9G,0,0,0,0,0,0,0,0,0,0,
10G,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2S,3S,4G,5S,6S,7G,8S,9G,10G,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 
3S,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
4G,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 0, 0, 0, 0, 4, 
6S,0, 0, 0, 0, 0, 0, B, 0, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 4, 5, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 0, 0, 
9G,0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 
10G,0, 0, 0, 0, 5, 0, 0, 0, B, 0, 
