Lignin ID,10_12591
Adjacency matrix
,1S,2G,3G,4S,5G,6S,7S,8G,9S,10S,
1S,0,1,0,0,0,0,0,0,0,0,
2G,0,0,1,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,
5G,0,0,0,1,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,
7S,0,0,0,0,0,0,0,1,0,0,
8G,0,0,0,0,0,0,0,0,0,0,
9S,0,0,0,0,0,0,0,1,0,0,
10S,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2G,3G,4S,5G,6S,7S,8G,9S,10S,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
2G,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
5G,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, 0, 0, B, 0, 0, 
8G,0, 0, 0, 0, 0, 0, B, 0, 5, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
10S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
