Lignin ID,10_6283
Adjacency matrix
,1G,2G,3S,4S,5S,6G,7S,8S,9S,10G,
1G,0,1,0,0,0,0,0,0,0,0,
2G,0,0,1,0,0,0,0,0,0,0,
3S,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,
6G,0,0,0,0,1,0,0,0,0,0,
7S,0,0,0,0,0,1,0,0,0,1,
8S,0,0,0,0,0,0,0,0,1,0,
9S,0,0,0,0,0,0,0,0,0,0,
10G,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1G,2G,3S,4S,5S,6G,7S,8S,9S,10G,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 
2G,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 
3S,0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
6G,0, 0, 0, 0, B, 0, 5, 0, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 0, 0, 4, 
8S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
10G,0, 0, 0, 0, 0, 0, 5, 0, B, 0, 
