Lignin ID,17_3
Adjacency matrix
,1S,2S,3G,4S,5G,6S,7G,8S,9S,10S,11G,12S,13S,14G,15S,16S,17G,
1S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5G,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
6S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
7G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
9S,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
10S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11G,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
12S,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
13S,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
14G,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
15S,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
16S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
17G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1S,2S,3G,4S,5G,6S,7G,8S,9S,10S,11G,12S,13S,14G,15S,16S,17G,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5G,0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6S,0, 0, 0, 0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 0, 0, 0, 0, 0, 0, 
10S,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
11G,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
12S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
13S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
14G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
15S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 
16S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
17G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
