Lignin ID,13_1120
Adjacency matrix
,1G,2S,3G,4S,5G,6S,7S,8S,9G,10S,11S,12S,13G,
1G,0,1,0,0,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,0,0,0,
5G,0,0,0,1,0,0,0,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,0,0,0,
7S,0,0,0,0,0,1,0,0,0,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,0,0,0,0,
9G,0,0,0,0,0,0,0,1,0,0,0,0,1,
10S,0,0,0,0,0,0,0,0,0,0,1,0,0,
11S,0,0,0,0,0,0,0,0,0,0,0,0,0,
12S,0,0,0,0,0,0,0,0,0,0,1,0,0,
13G,0,0,0,0,0,0,0,0,0,0,0,1,0,

Connectivity matrix
,1G,2S,3G,4S,5G,6S,7S,8S,9G,10S,11S,12S,13G,
1G,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
5G,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
7S,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
9G,0, 0, 0, 0, 0, 0, 0, B, 0, 0, 0, 0, 4, 
10S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 0, 
11S,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 
12S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 
13G,0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, B, 0, 
