Lignin ID,13_20
Adjacency matrix
,1S,2S,3G,4S,5S,6S,7G,8S,9S,10G,11G,12G,13S,
1S,0,1,0,0,0,0,0,0,0,0,0,0,0,
2S,0,0,1,0,0,0,0,0,0,0,0,0,0,
3G,0,0,0,0,0,0,0,0,0,0,0,0,0,
4S,0,0,1,0,0,0,0,0,0,0,0,0,0,
5S,0,0,0,1,0,0,0,0,0,0,0,0,0,
6S,0,0,0,0,1,0,0,0,0,0,0,0,0,
7G,0,0,0,0,0,1,0,0,0,0,0,0,0,
8S,0,0,0,0,0,0,1,0,0,0,0,0,0,
9S,0,0,0,0,0,0,0,1,0,0,0,0,0,
10G,0,0,0,0,0,0,0,0,1,0,0,0,0,
11G,0,0,0,0,0,0,0,0,0,1,0,0,0,
12G,0,0,0,0,0,0,0,0,0,0,0,0,1,
13S,0,0,0,0,0,0,0,0,0,0,0,0,0,

Connectivity matrix
,1S,2S,3G,4S,5S,6S,7G,8S,9S,10G,11G,12G,13S,
1S,0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2S,4, 0, B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3G,0, B, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4S,0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
5S,0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 0, 
6S,0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 0, 
7G,0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 0, 
8S,0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 0, 
9S,0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 0, 
10G,0, 0, 0, 0, 0, 0, 0, 0, B, 0, 4, 0, 0, 
11G,0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 0, 0, 
12G,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 
13S,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, B, 0, 
